,sales_amount
2010-10-01,452.6429861620289
2010-11-01,470.590206138713
2010-12-01,552.2020497296709
2011-01-01,424.8596049315737
2011-02-01,425.33337443329816
2011-03-01,486.8190134411735
2011-04-01,476.065560298626
2011-05-01,488.50478009483726
2011-06-01,485.2026250189051
2011-07-01,476.6202505201978
2011-08-01,490.2123856244417
2011-09-01,463.34446798501295
2011-10-01,467.78507590738695
2011-11-01,486.93914513864127
2011-12-01,566.3082181821381
2012-01-01,435.8108708666532
2012-02-01,456.8362688051013
2012-03-01,506.8132547168574
2012-04-01,479.462024826888
2012-05-01,513.3878375693555
2012-06-01,490.3394607918642
2012-07-01,483.91628120215233
2012-08-01,510.5014500648057
2012-09-01,466.66129581196026
2012-10-01,483.394419646172
2012-11-01,501.5851173323993
2012-12-01,567.2639059687485
2013-01-01,453.25139561203207
2013-02-01,449.1486527859464
2013-03-01,506.8977727331433
2013-04-01,492.7519793612514
2013-05-01,528.7997152307314
2013-06-01,499.968221428725
2013-07-01,509.33462670674106
2013-08-01,523.2832854499349
2013-09-01,475.1806568783612
2013-10-01,497.9526276827477
2013-11-01,509.01569495941897
2013-12-01,577.2190622318602
2014-01-01,455.320233730577
2014-02-01,450.83034281056433
2014-03-01,511.3574170861084
2014-04-01,510.7466044285062
2014-05-01,542.2681138115297
2014-06-01,511.3151722076794
2014-07-01,522.9529110981987
2014-08-01,531.9844620230775
2014-09-01,496.1005039056414
2014-10-01,514.7315575285347
2014-11-01,519.8268585510352
2014-12-01,600.7940911145724
2015-01-01,469.5537066032792
2015-02-01,457.0743883114785
2015-03-01,524.2148461792724
2015-04-01,516.0263182938083
2015-05-01,543.6742020497804
2015-06-01,526.7395849648863
2015-07-01,537.4584744112185
2015-08-01,535.2926084114388
2015-09-01,506.097524501259
2015-10-01,519.6178232975649
2015-11-01,523.541930904095
2015-12-01,613.981886364879
2016-01-01,465.65853248447314
2016-02-01,481.85133579397984
2016-03-01,535.1472819136425
2016-04-01,519.6166461387828
2016-05-01,542.4132226401232
2016-06-01,537.0433041852953
2016-07-01,531.950810308995
2016-08-01,544.7562712174438
2016-09-01,514.249658722261
2016-10-01,517.2211540781249
2016-11-01,538.0825569401634
2016-12-01,625.0259489607932
2017-01-01,476.7321488888341
2017-02-01,471.4963683515979
2017-03-01,545.8142557525463
2017-04-01,524.8460875209363
2017-05-01,560.4040190570647
2017-06-01,545.308977904105
2017-07-01,537.1744120486564
2017-08-01,554.2245986711966
2017-09-01,526.7866752855722
2017-10-01,533.0430664325739
2017-11-01,562.3432355348506
2017-12-01,630.7409453723694
2018-01-01,492.6854888270064
2018-02-01,479.80065169178727
2018-03-01,560.7437037467395
2018-04-01,528.4519468962183
2018-05-01,582.7422784299339
2018-06-01,556.3174303516082
2018-07-01,553.3154299999203
2018-08-01,570.3231252031486
2018-09-01,520.5392753170329
2018-10-01,550.4552467994873
2018-11-01,572.6088218643356
2018-12-01,614.3203764098953
2019-01-01,497.48998196871247
2019-02-01,478.0359088895818
2019-03-01,552.9234880307696
2019-04-01,545.5791913428121
2019-05-01,586.2767226278515
2019-06-01,552.5602217206804
2019-07-01,567.8672375040071
2019-08-01,581.2674547251167
2019-09-01,525.8126576141638
2019-10-01,556.9852256498999
2019-11-01,570.3223854908697
2019-12-01,631.2409158102307
2020-01-01,507.137128471337
2020-02-01,502.3607072124546
2020-03-01,518.9277583885338
2020-04-01,462.288362157688
2020-05-01,567.1673716112692
2020-06-01,586.4284372850227
2020-07-01,599.2366336181542
2020-08-01,590.5406750383628
2020-09-01,572.9175850910362
2020-10-01,596.1632794900268
2020-11-01,591.5715647521034
2020-12-01,669.0505049750958
2021-01-01,553.8021921696798
2021-02-01,522.3670838711145
2021-03-01,666.0911081725868
2021-04-01,654.2706426193618
2021-05-01,662.8120470922177
2021-06-01,648.3858874915024
2021-07-01,638.8660083825378
2021-08-01,634.3520375455022
2021-09-01,606.9833090581151
2021-10-01,629.2137656511137
2021-11-01,647.442806781947
2021-12-01,700.565437843651
2022-01-01,573.5188288324657
2022-02-01,558.654330075386
2022-03-01,651.2132021018733
2022-04-01,645.7719307877712
2022-05-01,661.0848021856199
2022-06-01,645.460673243027
2022-07-01,634.8991704776984
2022-08-01,648.5649156292659
2022-09-01,607.8949706655508
2022-10-01,624.970708547218
2022-11-01,631.938818113632
2022-12-01,683.5889144880392
2023-01-01,571.3351494493202
2023-02-01,549.2155708386814
2023-03-01,626.0973233204305
2023-04-01,607.1095377253887
2023-05-01,650.6743641356121
2023-06-01,629.8108998266464
2023-07-01,621.4952429389288
2023-08-01,641.7903944386926
2023-09-01,603.444465738981
2023-10-01,618.4977527793945
2023-11-01,632.5809341285094
2023-12-01,681.835974703798
2024-01-01,561.3621858533671
2024-02-01,562.014583345657
2024-03-01,614.2560257886813
2024-04-01,608.2778591602358
2024-05-01,646.8461275377125
2024-06-01,607.5203273608925
2024-07-01,631.6212339778142
2024-08-01,638.0796340391124
2024-09-01,587.755
